location,guests,bedrooms,beds,bathrooms,wifi,parking,kitchen,pool,gym,fireplace,security,price_per_night
Dehradun,8,1,6,3,1,1,1,1,0,0,0,10299
Patna,7,2,6,3,0,1,0,1,0,1,1,11931
Bangalore,8,1,3,1,0,1,1,0,1,0,0,11086
Udaipur,6,1,5,1,1,1,1,0,1,1,0,7786
Mumbai,9,2,6,1,0,0,1,0,0,1,0,10885
Udaipur,1,2,4,2,0,0,1,1,1,1,0,9622
Mumbai,5,3,6,2,1,1,0,0,1,1,1,11621
Nagpur,5,4,3,2,1,0,0,0,0,1,1,10334
Varanasi,8,1,3,4,0,0,1,1,0,0,1,10644
Jaipur,3,2,4,4,1,1,1,1,0,1,1,12767
Chandigarh,7,3,1,4,0,1,1,0,1,1,1,12176
Jaipur,10,4,2,4,1,0,1,1,0,1,0,13628
Raipur,2,3,1,1,1,1,1,1,0,0,1,9181
Kolkata,8,3,5,1,0,1,0,0,1,0,0,11434
Agra,2,5,2,2,0,1,0,1,0,1,1,10191
Coimbatore,6,2,3,4,0,0,1,1,1,1,0,13215
Lucknow,6,1,6,4,0,1,0,0,0,1,1,9552
Ahmedabad,10,1,3,4,0,1,1,1,0,1,1,14725
Mumbai,3,1,2,4,1,0,1,1,0,0,1,11049
Varanasi,4,1,2,4,1,0,0,0,1,1,1,7401
Dehradun,1,1,3,4,0,1,0,1,1,0,1,8249
Varanasi,1,4,5,2,1,0,1,1,0,0,1,10156
Patna,9,1,5,4,0,0,1,0,1,1,0,11968
Patna,5,5,5,3,0,1,0,1,1,0,1,12878
Surat,9,3,5,2,1,0,0,1,1,0,1,13137
Mysore,6,1,3,2,0,1,0,0,0,1,1,6863
Agra,2,2,2,4,1,1,1,1,1,1,1,11826
Pune,7,1,3,3,0,1,1,1,0,1,1,12388
Nagpur,6,1,5,4,0,1,0,0,0,1,1,9207
Indore,3,2,2,4,1,1,1,1,1,0,1,12281
Dehradun,10,4,6,1,1,1,1,1,0,0,1,12151
Ahmedabad,8,3,5,2,0,0,0,0,1,0,0,10834
Surat,3,1,4,4,0,1,0,1,1,0,1,10751
Varanasi,5,2,4,4,0,1,1,0,1,0,0,8800
Dehradun,5,2,3,4,1,1,1,0,1,1,0,10202
Chennai,5,5,5,1,1,0,0,0,0,0,0,10488
Chandigarh,6,1,4,2,0,1,0,1,1,0,1,10575
Agra,3,3,5,1,1,1,1,0,0,1,0,7613
Dehradun,5,3,6,2,0,1,0,1,1,1,0,11907
Mumbai,9,3,5,3,0,1,0,0,1,0,1,13956
Shimla,7,4,6,2,0,0,1,1,1,1,1,13797
Pune,3,1,1,1,1,1,0,0,0,1,0,7680
Mumbai,8,1,2,4,1,0,1,0,1,1,1,13070
Shimla,1,4,3,4,0,1,0,0,1,1,0,8470
Chennai,10,4,3,3,1,1,0,1,1,1,1,16096
Jaipur,4,1,3,2,1,0,1,1,1,0,1,9965
Indore,3,1,5,2,0,1,0,1,0,1,1,10261
Raipur,3,5,1,3,1,1,1,1,0,1,0,11648
Raipur,5,2,5,3,1,0,1,0,0,1,1,9364
Kolkata,6,4,6,1,1,1,0,1,1,1,1,15148
Shimla,4,1,3,3,1,0,0,1,0,1,0,9375
Agra,7,1,4,4,1,0,1,0,1,0,1,8925
Udaipur,6,2,4,2,1,1,0,0,0,0,0,7217
Chennai,7,4,3,4,1,1,1,1,0,1,0,15681
Indore,8,1,5,3,1,1,0,0,0,1,1,9810
Indore,8,2,5,3,1,0,0,0,0,0,1,8665
Bhopal,3,5,6,1,1,1,0,1,0,0,1,12367
Patna,5,3,2,2,1,0,1,1,1,0,0,10186
Lucknow,4,4,4,2,0,1,1,1,1,1,1,13305
Mumbai,7,1,4,1,0,1,1,1,1,0,1,13170
Indore,6,4,1,2,1,0,1,0,1,1,1,10729
Indore,8,5,5,2,0,1,1,1,1,0,1,14503
Delhi,4,3,5,1,0,1,0,1,1,0,0,11555
Delhi,4,4,2,2,1,1,0,0,0,0,0,8957
Nagpur,3,4,1,1,1,0,1,1,0,0,1,10544
Bangalore,7,4,1,1,0,1,1,0,1,1,1,11336
Jodhpur,10,3,4,4,1,1,0,0,1,0,1,11619
Surat,3,1,4,1,0,0,1,1,0,1,1,9880
Mysore,9,4,4,3,0,1,1,0,0,0,1,10356
Shimla,1,1,3,2,0,1,1,0,0,0,1,5943
Pune,10,4,3,3,0,1,0,0,1,1,1,14920
Nagpur,1,3,6,1,0,0,0,1,0,0,1,9121
Delhi,8,3,3,3,0,1,0,1,0,1,1,13640
Chandigarh,1,2,1,4,0,0,1,1,0,0,1,8924
Delhi,5,2,6,2,0,1,0,1,0,0,1,11400
Udaipur,8,2,5,1,1,1,0,0,0,0,1,7206
Nagpur,8,5,3,4,0,0,1,0,0,1,1,12178
Jaipur,4,5,3,2,0,0,0,0,1,1,0,9970
Surat,4,1,5,1,1,0,0,0,0,0,1,7633
Indore,5,2,6,3,1,0,1,1,0,1,1,11699
Chandigarh,10,1,6,1,1,0,1,0,1,0,1,10191
Indore,10,1,2,4,0,1,0,1,1,0,1,12914
Patna,8,2,2,1,1,1,0,1,0,1,0,11459
Jaipur,5,5,5,1,1,0,0,0,0,0,0,8745
Bangalore,2,4,6,4,1,0,1,0,1,1,1,13326
Pune,2,3,2,4,1,1,0,1,1,1,0,12571
Kolkata,8,2,5,2,0,1,1,1,0,0,0,12109
Indore,1,1,4,3,0,1,1,0,0,1,0,8410
Patna,9,3,1,2,0,0,1,0,1,1,0,9785
Varanasi,10,5,3,4,1,0,1,1,1,1,1,14335
Patna,5,1,1,4,1,0,0,0,0,1,1,8801
Kolkata,1,5,6,4,0,0,1,0,1,0,0,12447
Udaipur,1,3,1,1,1,0,0,0,0,1,1,6659
Jodhpur,3,3,3,1,0,0,1,0,1,0,1,7041
Raipur,1,3,6,1,1,0,1,1,0,1,0,9685
Chandigarh,5,4,6,1,0,1,0,1,0,1,1,12460
Dehradun,3,3,1,3,1,1,0,0,1,1,1,7833
Shimla,7,4,6,4,1,1,1,1,0,0,1,13676
Ahmedabad,6,5,5,1,1,0,1,0,0,0,1,10824
Indore,2,5,3,3,0,0,1,0,1,0,1,9740
Ahmedabad,3,2,4,4,1,1,1,1,1,0,1,13701
Chandigarh,7,4,1,2,0,0,1,0,1,0,1,10835
Shimla,2,3,3,4,1,1,1,1,0,1,0,9711
Kolkata,10,3,4,2,1,0,1,1,0,0,1,13082
Hyderabad,8,3,6,3,0,1,0,0,1,1,1,13993
Mumbai,3,1,2,2,1,1,0,0,0,0,0,7937
Udaipur,9,3,2,2,1,0,0,0,0,0,1,8662
Jodhpur,6,4,5,4,0,0,1,0,0,1,0,9273
Ahmedabad,8,2,4,2,0,0,1,1,0,1,0,12500
Agra,2,2,6,1,0,0,0,1,0,0,1,6904
Indore,4,1,6,4,0,1,1,1,0,0,1,11188
Raipur,8,3,6,4,1,0,1,0,0,0,0,10670
Indore,2,5,1,4,1,1,0,1,1,0,1,12715
Jodhpur,1,3,3,2,1,1,1,1,1,0,1,9305
Varanasi,9,1,5,1,0,0,1,1,0,1,1,9710
Surat,1,2,1,2,1,0,0,0,1,1,1,7328
Pune,5,5,3,3,0,0,1,1,0,1,1,14902
Raipur,2,3,5,4,0,0,1,1,1,1,0,10533
Shimla,8,2,5,4,1,1,0,1,1,1,1,12307
Mysore,8,4,5,4,0,1,0,1,1,1,0,12976
Bangalore,4,4,4,1,0,1,0,0,0,0,1,9165
Varanasi,5,5,3,4,0,0,0,0,1,0,0,9232
Agra,7,4,4,3,0,1,0,1,0,1,1,12426
Nagpur,5,1,2,1,0,0,0,0,0,0,0,5746
Patna,7,3,2,4,0,1,0,1,0,0,0,11384
Coimbatore,2,2,5,3,0,0,0,1,1,0,0,10508
Nagpur,4,1,5,2,0,0,1,0,1,0,0,7617
Dehradun,3,5,3,1,0,1,1,1,1,1,1,11290
Ahmedabad,7,1,2,2,0,0,0,1,0,0,0,9445
Dehradun,1,4,1,3,1,0,1,0,0,1,0,7504
Lucknow,6,3,4,2,0,1,1,1,0,1,1,11987
Dehradun,9,5,2,4,0,1,0,0,0,1,0,10867
Dehradun,7,4,4,2,0,1,0,0,0,1,1,9914
Pune,4,5,1,4,0,0,1,1,1,0,0,13109
Agra,10,1,2,4,1,1,0,0,1,0,0,8527
Bhopal,1,5,3,1,0,1,1,1,0,0,0,9936
Chandigarh,5,3,1,2,1,1,0,0,0,1,1,9590
Delhi,5,2,1,2,0,1,1,0,0,1,1,10365
Nagpur,3,4,1,4,1,0,1,1,1,0,0,11803
Dehradun,10,3,6,4,1,1,0,0,0,1,1,12007
Chandigarh,9,3,3,2,1,1,1,1,0,0,1,13286
Surat,9,2,5,1,1,0,0,0,0,0,1,8478
Pune,6,3,3,1,0,0,0,1,1,0,1,12131
Mumbai,9,5,5,2,0,0,0,0,0,0,1,12820
Shimla,9,3,5,4,1,0,1,0,1,1,1,12124
Agra,7,4,4,4,0,0,0,1,0,0,0,11331
Chennai,5,2,3,2,1,1,1,1,0,0,0,11402
Lucknow,2,3,2,1,0,1,1,0,0,0,0,7194
Patna,1,3,4,3,0,0,1,1,1,0,0,11519
Coimbatore,8,3,4,4,1,0,1,1,0,1,1,14100
Agra,1,1,5,3,1,0,1,1,0,1,1,8089
Agra,1,1,3,4,0,0,0,0,0,1,1,6287
Indore,6,2,2,4,0,1,1,0,0,1,1,10622
Mumbai,7,2,2,1,0,0,1,1,0,1,0,11637
Pune,8,3,3,2,0,0,1,0,1,0,0,11368
Dehradun,4,1,4,3,0,0,1,1,0,0,0,7861
Kolkata,2,3,6,1,0,0,0,0,1,0,0,9824
Bangalore,5,3,3,3,1,0,0,0,1,1,1,11089
Bangalore,2,3,3,1,1,1,0,0,0,0,0,8273
Jaipur,5,3,6,4,1,0,0,0,1,0,0,11096
Varanasi,1,4,3,3,1,1,1,0,1,0,1,8132
Bhopal,8,1,2,3,0,1,1,1,0,1,0,11320
Indore,4,3,3,2,1,1,1,0,0,1,1,9458
Ahmedabad,6,4,3,2,1,0,0,0,0,1,0,10896
Jaipur,6,1,4,3,0,0,1,0,1,1,0,8896
Udaipur,5,2,6,3,0,1,0,0,0,0,0,8364
Udaipur,2,2,6,3,1,1,0,0,0,1,1,7625
Chandigarh,1,5,1,1,0,0,0,1,1,0,1,10755
Lucknow,5,4,3,2,1,0,1,0,1,0,0,10319
Patna,5,2,6,4,0,1,0,0,0,1,0,9585
Mysore,5,2,1,1,1,0,1,1,1,1,1,9451
Indore,8,2,4,1,0,1,1,0,1,0,1,9062
Dehradun,2,3,5,1,1,1,1,1,1,0,1,9534
Raipur,8,3,3,1,0,0,0,1,0,0,0,8144
Pune,2,4,3,3,1,1,0,0,0,1,0,11507
Coimbatore,9,2,3,4,1,1,0,0,0,0,1,9856
Bhopal,10,5,2,1,1,0,1,1,0,0,0,12237
Agra,1,1,3,2,1,1,1,1,0,0,1,6750
Agra,8,5,1,1,0,1,1,1,1,0,1,11418
Kolkata,10,1,3,2,1,1,0,0,0,0,0,9143
Chandigarh,9,3,2,2,1,1,1,1,0,1,1,13455
Chandigarh,8,1,2,3,0,1,1,0,1,1,1,9572
Dehradun,5,5,6,2,0,0,1,0,0,0,0,9005
Chennai,4,5,3,4,0,1,1,0,1,1,0,12573
Surat,7,5,6,3,1,1,1,1,1,0,0,15070
Patna,5,5,3,4,0,1,0,0,0,0,0,9351
Nagpur,5,2,6,2,0,0,1,0,1,1,1,11270
Chandigarh,3,4,1,1,1,0,1,1,1,1,0,11173
Mysore,4,1,4,4,1,1,0,0,1,1,1,8740
Hyderabad,1,3,4,3,0,0,0,1,1,1,1,12737
Mysore,3,1,2,2,1,0,1,1,1,1,0,8903
Varanasi,10,4,1,3,0,1,0,0,1,1,1,11865
Bhopal,3,5,3,3,1,1,1,0,1,0,1,12137
Jaipur,2,3,5,2,1,0,1,1,0,1,0,11063
Jaipur,2,5,6,2,0,1,0,1,0,0,0,10553
Agra,6,5,3,1,0,0,1,0,1,0,1,8902
Chandigarh,1,5,3,4,0,0,0,1,0,1,0,12215
Lucknow,7,3,1,2,0,0,0,1,0,1,0,11089
Kolkata,2,3,5,4,1,0,1,0,0,1,0,10385
Indore,7,2,4,1,0,0,1,0,1,1,1,10226
Hyderabad,1,2,2,4,1,0,0,1,0,0,1,10942
Raipur,7,2,5,2,1,1,0,1,1,0,1,11765
Delhi,2,5,6,3,0,0,1,0,0,1,0,10864
Mumbai,10,2,5,1,0,0,1,0,0,1,1,12186
Mysore,6,5,1,2,1,1,1,1,1,1,0,12544
Patna,10,4,5,4,0,1,1,0,1,0,1,14280
Hyderabad,1,2,2,3,1,1,0,0,0,1,1,9415
Dehradun,7,2,1,4,0,1,0,0,0,1,1,8785
Jodhpur,5,2,4,1,1,0,0,1,0,0,1,8232
Kolkata,7,4,3,2,0,1,1,0,1,0,0,12343
Indore,10,2,5,3,0,0,1,1,0,0,0,11057
Mysore,7,5,3,2,1,0,0,1,0,0,0,10961
Jodhpur,1,4,6,4,0,0,0,1,1,0,1,10455
Chandigarh,1,5,4,1,0,1,0,1,0,0,0,8810
Nagpur,10,2,3,3,1,1,0,1,1,1,0,12647
Indore,6,5,1,4,0,0,0,1,1,1,1,12999
Raipur,2,2,5,4,1,1,1,1,0,0,0,9948
Lucknow,8,2,5,4,1,1,1,0,0,1,0,11830
Coimbatore,4,3,5,1,0,1,0,0,1,1,0,9292
Chennai,2,2,5,3,1,0,1,1,1,0,0,13019
Indore,10,1,3,1,0,0,1,1,0,1,0,11498
Mumbai,2,5,2,2,0,1,0,0,0,0,0,8791
Jodhpur,6,2,3,3,0,1,1,0,0,1,0,8256
Lucknow,2,1,3,2,0,1,0,1,1,0,0,9645
Surat,3,3,6,2,0,1,1,0,0,0,1,8410
Chennai,9,3,3,3,1,1,1,0,0,0,0,11864
Hyderabad,10,5,2,1,0,1,1,0,0,0,1,11876
Chandigarh,10,2,3,4,1,1,1,0,1,0,0,10849
Udaipur,6,4,5,3,1,1,0,1,0,0,0,10276
Bhopal,9,5,6,4,0,1,0,0,1,0,1,12582
Coimbatore,7,1,4,3,0,0,1,0,0,1,1,9736
Mumbai,8,3,1,1,0,1,0,1,1,1,1,14061
Bhopal,4,4,3,3,0,0,1,0,0,0,0,8021
Bangalore,1,3,3,1,0,1,0,0,1,1,1,9945
Chennai,6,5,2,1,0,1,1,1,0,0,1,13917
Surat,6,2,4,2,1,0,1,0,0,0,1,7837
Mumbai,3,4,4,1,1,0,0,1,0,1,0,11347
Udaipur,2,1,6,1,0,1,0,0,1,1,1,7453
Nagpur,6,4,6,2,0,1,0,0,1,0,1,11890
Pune,8,2,2,1,1,1,1,1,0,0,0,10908
Bhopal,10,1,5,4,0,1,1,1,0,1,1,13826
Jodhpur,4,2,1,2,0,0,1,1,0,0,0,6964
Dehradun,5,5,2,2,0,0,0,0,0,1,0,7763
Indore,10,2,3,1,1,0,0,1,0,1,1,11701
Chandigarh,10,4,5,3,0,0,0,1,1,0,0,14561
Jaipur,3,5,2,1,1,0,1,1,1,1,1,11816
Bhopal,6,2,1,1,0,1,1,1,1,1,1,11679
Raipur,5,3,5,3,0,1,0,1,1,1,0,12179
Mumbai,2,3,1,3,0,0,1,0,0,0,1,9612
Chandigarh,1,2,1,4,1,1,0,0,0,1,1,9047
Indore,5,3,2,4,0,1,0,0,0,0,0,8791
Ahmedabad,7,4,1,4,0,1,0,1,1,1,1,16140
Udaipur,1,4,5,2,1,1,1,1,1,1,0,12051
Mumbai,4,5,5,3,1,1,0,1,0,1,0,14256
Mumbai,5,2,5,3,1,0,0,0,1,0,0,9832
Jodhpur,5,5,4,4,1,1,0,0,0,0,1,9245
Coimbatore,8,5,5,1,0,1,1,0,0,0,1,10826
Mumbai,7,4,3,3,1,1,1,1,1,0,1,15703
Coimbatore,9,5,6,3,0,0,1,1,0,1,0,14553
Jaipur,3,1,4,3,0,0,0,0,1,0,1,7924
Coimbatore,4,3,4,3,1,1,0,1,0,1,1,12442
Indore,4,3,3,4,1,0,0,1,0,1,1,12647
Agra,3,3,1,1,0,0,1,1,1,1,0,9803
Coimbatore,1,3,1,1,1,1,0,0,0,0,1,6164
Dehradun,9,1,1,3,1,1,1,1,0,0,0,9091
Jaipur,10,2,4,1,0,1,1,0,1,1,1,11187
Dehradun,4,1,3,4,1,1,1,0,0,0,0,7581
Mysore,7,5,1,3,1,0,1,0,0,0,0,8318
Mumbai,1,1,2,2,1,0,1,0,1,1,1,9480
Nagpur,1,3,4,1,1,1,0,0,1,1,0,8370
Mumbai,4,4,6,3,0,1,1,1,0,1,0,13456
Raipur,3,4,4,3,1,1,1,1,1,0,1,12273
Coimbatore,1,2,5,1,1,1,1,1,0,1,0,9915
Varanasi,3,3,2,4,0,1,1,1,1,0,0,10176
Jodhpur,8,1,3,4,0,1,1,1,1,0,1,12241
Nagpur,3,4,2,3,1,1,1,0,0,0,0,8938
Delhi,8,2,5,1,0,0,0,1,0,1,0,12068
Nagpur,9,2,5,4,1,0,0,0,1,1,0,11824
Jaipur,4,5,4,4,1,0,1,0,1,0,0,11549
Bhopal,7,2,2,4,0,1,0,0,0,0,1,9153
Ahmedabad,10,5,4,2,0,1,1,1,1,0,1,17102
Shimla,6,3,6,4,0,0,0,1,1,0,0,12148
Chennai,7,5,2,3,0,0,0,1,1,1,0,14722
Dehradun,5,3,1,4,0,0,0,1,1,0,0,9834
Nagpur,3,5,6,4,0,1,0,0,0,0,1,11366
Pune,5,2,5,4,0,1,0,1,1,1,0,13723
Mumbai,7,3,6,1,0,0,1,0,0,1,1,11903
Kolkata,6,5,3,1,1,1,0,0,1,0,1,12873
Ahmedabad,1,1,1,4,0,1,1,1,0,1,0,11302
Kolkata,7,1,6,4,0,1,0,0,1,1,0,12057
Dehradun,3,4,1,1,0,1,1,0,0,1,0,7899
Bhopal,4,5,6,2,0,1,1,1,1,1,0,14178
Chandigarh,6,1,4,4,1,1,1,1,1,1,0,13508
Indore,4,2,2,2,1,0,1,1,0,1,1,9453
Mysore,7,1,6,3,0,1,1,1,1,0,0,11092
Agra,6,1,5,1,0,0,0,0,0,0,1,5793
Chennai,8,3,3,1,0,0,0,0,1,1,0,11036
Mysore,5,1,6,4,0,1,1,0,0,1,0,7965
Varanasi,3,5,4,1,0,1,1,0,1,1,1,9517
Agra,9,4,4,2,1,1,1,0,0,0,1,10577
Nagpur,9,1,1,1,1,1,0,0,1,1,1,9534
Pune,3,4,2,2,0,0,0,0,1,0,1,9390
Hyderabad,2,3,3,3,0,0,0,1,0,0,0,11620
Mumbai,5,1,5,4,1,1,1,1,0,0,1,13713
Chandigarh,2,5,4,3,0,0,1,0,0,1,1,9819
Surat,4,3,4,2,1,1,0,1,1,1,1,12760
Delhi,9,1,2,3,1,0,0,0,1,1,0,12108
Mumbai,1,1,3,2,0,0,1,0,0,0,0,7877
Nagpur,5,1,3,3,1,0,1,0,0,1,1,8619
Mysore,1,2,5,2,1,1,0,1,1,0,0,9483
Patna,8,4,3,1,0,0,0,1,0,1,0,11603
Agra,6,1,4,1,1,1,0,1,1,0,1,8733
Delhi,8,5,1,1,0,0,0,0,1,0,0,12138
Indore,7,4,1,4,0,1,0,0,0,1,0,10681
Varanasi,1,4,4,4,0,0,0,1,1,0,0,10246
Shimla,1,5,5,3,0,0,0,0,1,1,0,9888
Shimla,3,1,2,1,1,1,0,0,1,0,0,5132
Bangalore,9,3,1,3,1,1,1,1,0,1,0,14422
Mysore,10,1,4,2,1,0,0,0,1,1,1,10261
Shimla,9,3,3,2,0,0,0,1,1,1,1,12439
Ahmedabad,5,5,4,3,1,0,0,0,0,1,0,12075
Coimbatore,1,5,4,1,0,0,1,1,1,1,1,12876
Indore,7,2,6,1,0,0,1,1,0,1,0,10443
Surat,9,3,3,3,0,1,1,0,1,1,1,11389
Raipur,10,2,2,1,1,0,1,0,1,1,0,8456
Delhi,6,5,4,2,0,1,1,0,0,0,0,10750
Coimbatore,4,3,5,4,1,0,0,1,0,1,0,11375
Coimbatore,5,5,5,4,1,0,1,0,0,0,1,12050
Shimla,3,3,3,3,1,0,0,1,0,1,0,8550
Varanasi,1,3,5,2,1,0,0,0,1,0,1,8054
Agra,2,1,2,4,1,0,0,0,0,1,0,5940
Agra,8,3,2,3,0,0,1,0,1,0,1,9727
Hyderabad,5,1,2,3,1,0,0,0,1,1,1,11431
Mysore,2,4,5,3,1,1,1,0,1,0,0,9188
Jaipur,9,5,5,3,1,0,1,0,0,1,1,12857
Nagpur,9,3,2,3,1,1,0,0,0,1,0,9430
Surat,2,3,1,1,1,0,0,0,1,1,0,8104
Hyderabad,2,4,4,3,1,0,0,1,1,1,0,12607
Shimla,1,1,4,1,1,1,0,1,0,0,1,7417
Raipur,1,4,2,4,1,0,1,0,1,0,0,7970
Jaipur,10,5,4,2,1,0,1,1,1,1,0,14110
Varanasi,1,3,4,2,0,1,1,1,1,0,1,9317
Coimbatore,10,3,5,1,1,1,1,1,1,1,0,13563
Raipur,5,4,6,4,0,1,1,0,1,1,0,11967
Kolkata,10,2,1,4,1,0,0,1,1,0,0,14674
Patna,2,3,6,4,0,0,1,1,0,1,0,11565
Dehradun,5,2,2,3,1,0,1,0,0,0,1,7167
Jaipur,6,4,3,3,0,0,0,0,1,0,0,8951
Ahmedabad,8,4,4,2,1,0,1,1,0,1,0,14833
Udaipur,6,5,6,2,1,0,0,1,0,0,0,11325
Bhopal,5,3,4,1,0,0,1,1,0,1,0,10782
Dehradun,4,4,1,4,0,0,0,1,0,1,0,9514
Agra,8,4,3,3,1,1,1,1,0,1,1,11902
Ahmedabad,2,1,3,1,0,1,1,0,0,1,1,8009
Surat,3,3,3,2,1,1,0,0,1,0,1,9239
Lucknow,9,2,5,3,0,0,1,0,0,0,0,9943
Jodhpur,6,1,2,3,1,0,1,0,1,0,1,8787
Dehradun,7,4,5,4,0,1,1,0,1,0,0,10421
Patna,8,4,6,4,0,0,0,1,0,1,1,13788
Patna,5,3,4,4,0,1,1,1,0,1,0,13382
Bangalore,9,1,5,4,0,1,1,0,0,0,1,12330
Kolkata,4,5,3,1,1,1,1,1,1,0,0,12997
Surat,7,4,5,3,0,1,0,0,1,0,0,10980
Hyderabad,10,3,1,4,1,0,1,0,1,0,0,11906
Patna,7,1,3,4,1,1,0,0,1,0,1,11007
Agra,7,5,1,3,1,0,0,1,1,1,0,12963
Raipur,4,1,5,3,1,1,0,0,0,0,0,7096
Mysore,2,5,5,3,0,1,0,1,1,1,0,11121
Indore,6,5,4,1,0,0,0,1,1,0,1,12632
Pune,9,3,3,2,1,1,1,0,1,1,0,13468
Kolkata,2,5,6,1,0,0,1,1,1,1,1,14094
Hyderabad,9,4,4,4,1,0,0,0,1,0,0,12537
Mysore,7,1,6,3,1,0,0,1,0,0,0,10052
Indore,6,3,4,2,0,0,1,0,1,1,0,9577
Pune,9,3,4,2,1,0,1,0,1,0,1,12831
Hyderabad,6,1,1,2,0,0,0,1,1,1,1,12363
Chandigarh,4,4,1,1,1,0,1,1,0,0,1,10042
Jaipur,5,5,6,1,1,1,0,0,0,1,1,11634
Indore,7,4,4,3,0,0,1,0,0,0,0,10637
Jodhpur,3,2,5,4,0,1,1,0,0,0,0,8269
Agra,7,1,6,3,1,1,0,0,0,1,0,9101
Nagpur,6,2,6,3,0,1,1,0,1,0,1,10209
Mysore,9,5,1,2,0,0,1,0,0,0,0,8204
Kolkata,3,3,5,1,0,0,1,0,1,0,1,10944
Lucknow,10,4,5,4,0,1,0,0,1,1,0,12887
Coimbatore,1,1,4,3,1,1,1,1,1,1,1,11747
Pune,1,5,2,4,0,0,1,1,0,0,1,13287
Udaipur,10,1,5,3,1,0,1,0,1,0,0,9419
Surat,4,2,5,1,0,0,1,0,0,1,0,8144
Lucknow,10,3,1,1,0,1,0,0,1,1,1,11035
Kolkata,5,4,1,1,0,0,1,1,0,0,1,10884
Lucknow,3,2,5,2,1,1,1,0,1,1,1,9769
Kolkata,4,4,3,4,1,0,0,1,0,1,0,13560
Dehradun,8,5,1,4,0,1,1,1,0,0,0,11486
Nagpur,9,4,5,3,0,1,1,0,0,0,0,11408
Ahmedabad,8,4,1,2,1,0,0,0,0,1,1,12167
Surat,5,5,3,1,0,0,1,1,1,0,1,12916
Jaipur,1,5,5,3,0,1,0,0,1,0,1,11307
Kolkata,2,1,4,3,1,0,1,0,0,0,1,9543
Jodhpur,10,2,3,1,1,1,0,0,1,0,0,8055
Patna,4,2,4,2,1,0,0,1,0,1,0,9771
Chandigarh,5,5,3,2,1,1,0,1,1,0,1,13085
Agra,2,4,4,4,0,0,0,1,1,1,1,10691
Raipur,5,1,4,4,1,0,0,1,1,0,0,10780
Mumbai,4,4,5,1,0,0,0,1,1,0,1,12921
Chennai,5,3,2,1,1,1,1,1,1,0,1,13053
Lucknow,2,4,2,1,1,0,1,1,1,0,0,9709
Bangalore,6,3,6,2,0,1,1,0,1,1,1,13583
Pune,4,1,2,2,1,1,1,1,1,0,0,11362
Lucknow,4,1,4,1,1,1,1,1,1,1,0,10651
Mysore,7,3,6,3,0,0,1,0,0,1,1,9836
Udaipur,8,1,4,2,1,1,1,0,1,0,0,8590
Dehradun,4,4,3,2,1,1,1,1,0,1,0,11300
Chennai,4,1,2,4,0,1,1,1,0,0,0,10389
Hyderabad,10,3,3,4,1,1,0,0,0,0,1,12422
Bhopal,6,3,5,1,1,1,0,0,1,1,1,9937
Patna,4,2,5,3,1,1,1,1,0,0,1,11394
Jaipur,10,2,5,4,0,0,0,1,0,1,1,13833
Bangalore,5,3,3,1,0,0,0,0,1,1,0,11050
Kolkata,10,4,3,2,1,0,0,0,0,1,1,12478
Pune,2,1,3,3,1,1,1,1,0,0,0,11115
Nagpur,4,5,6,2,1,1,1,1,0,1,1,12992
Agra,6,5,4,4,1,0,0,0,0,0,0,9877
Kolkata,6,3,6,3,1,1,0,1,1,1,0,14897
Jodhpur,2,3,2,1,0,0,1,1,0,0,1,7533
Patna,7,1,4,2,1,1,1,0,0,1,1,10042
Dehradun,2,2,2,1,0,1,1,0,0,0,0,5329
Coimbatore,3,3,2,3,0,0,1,1,1,0,1,11711
Mumbai,9,4,3,3,0,0,1,0,1,1,1,14868
Mumbai,1,1,5,1,1,0,0,0,1,0,0,8912
Kolkata,5,4,4,4,1,0,0,0,1,1,1,14120
Agra,1,4,6,1,1,1,0,0,1,0,1,8111
Jaipur,1,4,3,1,1,0,0,1,1,0,1,10717
Mumbai,5,2,3,4,0,0,0,1,1,0,1,12981
Patna,2,3,5,3,1,0,1,0,1,0,0,8453
Dehradun,7,1,5,1,1,0,0,1,1,0,0,8442
Nagpur,7,1,5,2,1,1,0,0,0,0,0,8235
Delhi,6,2,3,3,0,0,0,0,0,0,1,10054
Bangalore,10,1,5,1,1,1,0,0,0,0,1,11384
Udaipur,3,5,1,2,1,0,1,0,1,1,1,10385
Hyderabad,7,4,6,2,0,0,0,0,1,0,1,13335
Dehradun,10,1,6,2,0,1,0,1,1,1,0,11622
Udaipur,3,1,1,4,0,0,0,0,0,0,1,6458
Chennai,2,3,5,1,0,1,1,1,0,0,0,10682
Indore,2,5,6,1,1,0,1,1,0,0,0,11585
Raipur,8,1,5,2,1,0,0,1,0,0,0,9629
Bhopal,8,5,6,2,1,1,0,0,0,1,1,12776
Patna,4,1,1,4,0,1,1,1,1,0,1,11636
Dehradun,4,5,3,1,0,0,1,1,0,1,0,10064
Lucknow,3,4,6,3,1,0,1,0,0,0,1,9551
Chandigarh,1,3,3,2,0,1,0,0,1,1,1,9673
Varanasi,6,1,6,1,1,0,0,1,0,0,1,8187
Ahmedabad,7,3,2,2,0,1,0,1,0,1,1,12683
Jodhpur,7,4,5,2,0,1,0,0,0,0,0,8831
Shimla,1,3,5,4,0,1,0,0,1,0,0,8917
Indore,9,5,6,3,1,1,1,0,1,1,0,14623
